Cocktail,Image,Recipe
ALEXANDER,https://upload.wikimedia.org/wikipedia/commons/b/b6/Alexander_Cocktail.png,"After Dinner Cocktail

    3 cl Cognac
    3 cl Créme de Cacao (brown)
    3 cl Fresh cream

Shake and strain into a chilled cocktail glass.
Sprinkle with fresh ground nutmeg."
AMERICANO,https://upload.wikimedia.org/wikipedia/commons/2/2b/Americano_cocktail_at_Nightwood_Restaurant.jpg,"Before Dinner Cocktail

    3 cl Campari
    3 cl Red Vermouth
    A splash of soda water

Mix the ingredients directly in an old-fashioned glass filled with ice-cubes, add a splash of soda water and garnish with half orange slice."
ANGEL FACE,https://upload.wikimedia.org/wikipedia/commons/9/97/IBA_Cocktail_Angel_Face_%2828068833805%29.jpg,"All Day Cocktail

    3 cl Calvados
    3 cl Gin
    3 cl Apricot brandy

Pour all ingredients into a shaker with ice.
Shake. Strain into a cocktail glass."
AVIATION,https://upload.wikimedia.org/wikipedia/commons/4/4f/Aviation_Cocktail.jpg,"All Day Cocktail

    4.5 cl Gin
    1.5 cl Maraschino
    1.5 cl Fresh lemon juice

Shake and strain into a chilled cocktail glass."
BACARDI,https://upload.wikimedia.org/wikipedia/commons/f/f9/Bacardi_cocktail.jpg,"Before Dinner Cocktail

    4.5 cl Bacardi Carta Blanca
    2 cl Fresh lime juice
    1 cl Grenadine

Pour all ingredients into shaker with ice cubes, shake well, strain into chilled cocktail glass."
BETWEEN THE SHEETS,https://upload.wikimedia.org/wikipedia/commons/b/bf/Between_The_Sheets_Cocktail.jpg,"All Day Cocktail

    3 cl Cognac
    3 cl White Rum
    3 cl Triple Sec
    2 cl Fresh lemon juice

Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass."
CASINO,https://upload.wikimedia.org/wikipedia/commons/5/5f/Casino_Cocktail_%289120690108%29.jpg,"All Day Cocktail

    4 cl Old Tom Gin
    1 cl Maraschino
    1 cl Orange Bitters
    1 cl Fresh lemon Juice

Pour all ingredients into shaker with ice cubes, shake well. Strain into chilled cocktail glass and garnish with a lemon twist and a marachino cherry."
CLOVER CLUB,https://upload.wikimedia.org/wikipedia/commons/9/99/Cloverclub.jpg,"All Day Cocktail

    4.5 cl Gin
    1.5 cl Raspberry syrup
    1.5 cl Fresh lemon Juice
    Few drops of Egg White

Pour all ingredients into cocktail shaker filled with ice. Shake well.
Strain into cocktail glass."
DAIQUIRI,https://upload.wikimedia.org/wikipedia/commons/f/fd/Classic_Daiquiri_in_Cocktail_Glass.jpg,"Before Dinner Cocktail

    4.5 cl White rum
    1.5 cl Simple syrup
    2.5 cl Fresh lime juice

Shake and strain into a cocktail glass."
DERBY,https://upload.wikimedia.org/wikipedia/commons/a/aa/IBA_Cocktail_Derby_%2828968231993%29.jpg,"All Day Cocktail

    6 cl Gin
    2 Drops Peach Bitters
    2 Fresh mint leafs

Pour all ingredients into a mixing glass with ice.
Stir. Strain into a cocktail glass. Garnish with a fresh mint leaves in the drink."
DRY MARTINI,https://upload.wikimedia.org/wikipedia/commons/8/80/15-09-26-RalfR-WLC-0084.jpg,"Before Dinner Cocktail

    6 cl Gin
    1 cl Dry Vermouth

Pour all ingredients into mixing glass with ice cubes.
Stir well. Strain in chilled martini glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
GIN FIZZ,https://upload.wikimedia.org/wikipedia/commons/1/1d/15-09-26-RalfR-WLC-0032.jpg,"Longdrink

    4.5 cl Gin
    1 cl Sugar syrup
    3 cl Fresh lemon juice
    8 cl Soda water

Shake all ingredients with ice cubes, except soda water. Pour into tumbler. Top with soda water. Garnish with lemon slice."
JOHN COLLINS,https://upload.wikimedia.org/wikipedia/commons/4/4e/IBA_Cocktail_John_Collins_%2829221732881%29.jpg,"Longdrink

    4.5 cl Gin
    1.5 cl Sugar syrup
    3 cl Fresh lemon juice
    6 cl Soda water

Pour all ingredients directly into highball glass filled with ice. Stir gently.
Garnish with lemon slice and maraschino cherry. Add a dash of Angostura bitters.
(Note: Use Old Tom Gin for Tom Collins)"
MANHATTAN,https://upload.wikimedia.org/wikipedia/commons/d/de/Manhattan_Cocktail2.jpg,"Before Dinner cocktail

    5 cl Rye Whiskey
    2 cl Red Vermouth
    1 dash Angostura Bitters

Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.Garnish with cocktail cherry."
MARY PICKFORD,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mary_Pickford_Cocktail.jpg,"All Day Cocktail

    6 cl White Rum
    1 cl Maraschino
    1 cl Grenadine syrup
    6 cl Fresh pineapple juice

Shake and strain into a chilled large cocktail glass."
MONKEY GLAND,https://upload.wikimedia.org/wikipedia/commons/5/58/Monkey_Gland_%2811677703163%29.jpg,"All Day Cocktail

    5 cl Gin
    3 cl Orange juice
    2 drops Absinth
    2 drops Grenadine

Shake and strain into a chilled cocktail glass."
NEGRONI,https://upload.wikimedia.org/wikipedia/commons/c/c6/Negroni_served_in_Vancouver_BC.jpg,"Before Dinner Cocktail

    3 cl Gin
    3 cl Campari
    3 cl Sweet Red Vermouth

Pour all ingredients directly into old-fashioned glass filled with ice. Stir gently.Garnish with half orange slice."
OLD FASHIONED,https://upload.wikimedia.org/wikipedia/commons/6/6f/Whiskey_Old_Fashioned1.jpg,"Before Dinner Cocktail

    4.5 cl Bourbon or Rye whiskey
    2 Dashes Angostura Bitters
    1 sugar cube
    Few dashes plain water

Place sugar cube in old-fashioned glass and saturate with bitters, add a dash of plain water.
Muddle until dissolve. Fill the glass with ice cubes and add whiskey. Garnish with orange slice and a cocktail cherry."
PARADISE,https://upload.wikimedia.org/wikipedia/commons/b/b3/Paradise_cocktail.jpg,"All Day Cocktail

    3.5 cl Gin
    2 cl Apricot Brandy
    1.5 cl Orange juice

Pour all ingredients into cocktail shaker filled with ice. Shake and strain into chilled cocktail glass."
PLANTER’S PUNCH,https://upload.wikimedia.org/wikipedia/commons/1/10/Planters_Punch_2.jpg,"Longdrink

    4.5 cl Dark rum
    3.5 cl Fresh orange juice
    3.5 cl Fresh pineapple juice
    2 cl Fresh lemon juice
    1 cl Grenadine
    1 cl Sugar syrup
    3 to 4 dashes Angostura bitters

Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, “on top”. Garnish with cocktail cherry and pineapple."
PORTO FLIP,https://upload.wikimedia.org/wikipedia/commons/d/d2/Porto_Flip.jpg,"After Dinner Cocktail

    1.5 cl Brandy
    4.5 cl Red Port
    1 cl Egg yolk

Pour all ingredients into cocktail shaker filled with ice. Shake well.
Strain into cocktail glass.
Sprinkle with fresh ground nutmeg."
RAMOS GIN FIZZ,https://upload.wikimedia.org/wikipedia/commons/1/1d/15-09-26-RalfR-WLC-0032.jpg,"Longdrink

    4.5 cl Gin
    3 cl Sugar syrup
    1.5 cl Lime juice
    1.5 cl Fresh lemon juice
    6 cl Cream
    1 Egg white
    3 dashes Orange flower water
    2 drops Vanilla extract
    Soda water

Pour all ingredients (except soda) in a mixing glass, dry shake (no ice) for two minutes, add ice and hard shake for another minute. Strain into a highball glass without ice, top with soda."
RUSTY NAIL,https://upload.wikimedia.org/wikipedia/commons/f/f3/Rusty_Nail_a_cocktail_by_%40tokenchick13_%2816503594826%29.jpg,"After Dinner Cocktail

    4.5 cl Scotch whisky
    2.5 cl Drambuie

Pour all ingredients directly into old-fashioned glass filled with ice. Stir gently. Garnish with lemon twist."
SAZERAC,https://upload.wikimedia.org/wikipedia/commons/d/dd/SazeracRooseveltNOLA1July2009.JPG,"After Dinner Cocktail

    5 cl Cognac
    1 cl Absinthe
    1 sugar cube
    2 dashes Peychaud’s bitters

Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside.
Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the Lemon peel for garnish. Note: The original recipe changed after the American Civil War, rye whiskey substituted cognac as it became hard to obtain."
SCREWDRIVER,https://upload.wikimedia.org/wikipedia/commons/4/45/Screwdriver%2C_Birmingham-Shuttlesworth_International_Airport%2C_Birmingham_AL.jpg,"All Day Cocktail

    5 cl Vodka
    10 cl Orange juice

Pour all ingredients into a highball glass filled with ice. Stir gently. Garnish with an orange slice."
SIDECAR,https://upload.wikimedia.org/wikipedia/commons/9/94/Sidecar-cocktail.jpg,"All Day Cocktail

    5 cl Cognac
    2 cl Triple Sec
    2 cl Fresh lemon juice

Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass."
STINGER,https://upload.wikimedia.org/wikipedia/commons/2/27/Stinger_Cocktail.jpg,"After Dinner Cocktail

    5 cl Cognac
    2 cl Crème de Menthe (white)

Pour all ingredients into a mixing glass with ice. Stir.
Strain into a cocktail glass."
TUXEDO,http://iba-world.com/wp-content/uploads/2015/08/tuxedo.jpg,"All Day Cocktail

    3 cl Old Tom Gin
    3 cl Dry Vermouth
    1/2 bar spoon Maraschino
    1/4 bar spoon Absinthe
    3 dashes Orange Bitters

Stir all ingredients with ice and strain into cocktail glass. Garnish with a cocktail cherry and a lemon zest twist."
