Location,Sovereign state with capital,Flag
https://upload.wikimedia.org/wikipedia/commons/1/19/Afghanistan_%28orthographic_projection%29.svg,Afghanistan (capital : Kabul),https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
https://upload.wikimedia.org/wikipedia/commons/d/d5/Albania_%28orthographic_projection%29.svg,Albania (capital : Tirana),https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
https://upload.wikimedia.org/wikipedia/commons/2/25/Algeria_%28orthographic_projection%29.svg,Algeria (capital : Algiers),https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
https://upload.wikimedia.org/wikipedia/commons/1/12/Location_Andorra_Europe.png,Andorra (capital : Andorra la Vella),https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
https://upload.wikimedia.org/wikipedia/commons/c/ca/Location_Angola_AU_Africa.svg,Angola (capital : Luanda),https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
https://upload.wikimedia.org/wikipedia/commons/2/21/ATG_orthographic.svg,Antigua and Barbuda (capital : St. John's),https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
https://upload.wikimedia.org/wikipedia/commons/e/ec/Argentina_orthogonal.svg,Argentina (capital : Buenos Aires),https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
https://upload.wikimedia.org/wikipedia/commons/9/96/Armenia_%28orthographic_projection%29.svg,Armenia (capital : Yerevan),https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
https://upload.wikimedia.org/wikipedia/commons/d/da/Australia_with_AAT_%28orthographic_projection%29.svg,Australia (capital : Canberra),https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
https://upload.wikimedia.org/wikipedia/commons/9/9d/EU-Austria.svg,Austria (capital : Vienna),https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
https://upload.wikimedia.org/wikipedia/commons/2/2d/Azerbaijan_with_Nagorno_Karabakh_region.svg,Azerbaijan (capital : Baku),https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
https://upload.wikimedia.org/wikipedia/commons/d/de/The_Bahamas_on_the_globe_%28Americas_centered%29.svg,The Bahamas (capital : Nassau),https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg
https://upload.wikimedia.org/wikipedia/commons/6/62/Bahrain_on_the_globe_%28Afro-Eurasia_centered%29.svg,Bahrain (capital : Manama),https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
https://upload.wikimedia.org/wikipedia/commons/f/f2/Bangladesh_%28orthographic_projection%29.svg,Bangladesh (capital : Dhaka),https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
