English,Spanish,Pronunciation
Hello!,¡Hola!,¡oh-lah!
Please.,Por favor.,pohr fah-bvohr.
Thank you.,Gracias.,grah-seeahs.
I‘m sorry.,Lo siento.,loh seeehn-toh.
Good-bye.,Adiós.,ah-dee-ohs.
Do you speak English?,¿Habla usted inglés?,¿ah-bvlah oohs-tehd een-glehs?
I don‘t speak much Spanish.,No hablo mucho español.,no ah-bvloh mooh-choh ehs-pah-nyohl.
I don‘t know.,No sé.,noh seh.
I understand.,Claro.,clah-roh.
What?,¿Qué?,¿keh?
Where?,¿Dónde?,¿dohn-deh?)
When?,¿Cuándo?,¿koohahn-doh?
Why?,¿Por qué?,¿pohr keh?
Where is the bathroom?,¿Dónde está el baño?,¿dohn-deh ehs-tah ehl bvah-nyoh?
How much?,¿Cuánto?,¿koohahn-toh?
Who is he?,¿Quién es él?,¿keeehn ehs ehl?
What do you do?,¿Qué hace usted?,¿keh ah-seh oohs-tehd?
Where do you live?,¿Dónde viven ustedes?,¿dohn-deh bvee-bvehn oohs-teh-dehs?
When do they arrive?,¿Cuándo llegan ellos?,¿koohahn-doh yeh-gahn eh-yohs?
Why are you (formal) here?,¿Por qué está usted aquí?,¿pohr keh ehs-tah oosh-tehd ah-kee?
Which restaurant is better?,¿Cuál restaurante es mejor?,¿kooahl rehs-tahooh-rahn-teh ehs meh-Hohr?
How is their house?,¿Cómo es su casa?,¿koh-moh ehs sooh kah-sah?
How much is the ticket?,¿Cuánto cuesta el boleto?,¿koohahn-toh koohehs-tah ehl bvoh-leh-toh?
Watch out!,¡Cuidado!,¡koohee-dah-doh!
Quick!,¡Rápido!,¡rrah-pee-doh!
Help!,¡Socorro!,¡soh-koh-rroh!
Help me!,¡Ayúdeme!,¡ah-yooh-deh-meh!
Look out!,¡Ojo!,¡oh-Hoh!
Earthquake!,¡Terremoto!,¡teh-rreh-moh-toh!
Flood!,¡Inundación!,¡ee-noohn-dah-seeohn!
